category,group,doc_type_code,doc_type_description
Land Records,REAL PROPERTY,NLEX,NOTICE OF LEASE EXTENSION
Land Records,REAL PROPERTY,NOL,NOTICE OF LEASE EXTENSION EXERCISE
Land Records,REAL PROPERTY,NOT/OGML,NOT/OGML
Land Records,REAL PROPERTY,NOT/OGOI,NOT/OGOI
Land Records,REAL PROPERTY,NOT/TM/TA/OGL,NOT/TM/TA/OGL
Land Records,REAL PROPERTY,OET/OGL,OET/OGL
Land Records,REAL PROPERTY,OGA/C/D,OGA/C/D
Land Records,REAL PROPERTY,OG/AFFT,OG/AFFT
Land Records,REAL PROPERTY,OGD,OGD
Land Records,REAL PROPERTY,OGDO,OGDO
Land Records,REAL PROPERTY,OG&HC LSE,OG&HC LSE
Land Records,REAL PROPERTY,OG&HL,OG&HL
Land Records,REAL PROPERTY,O&G LEASE,O&G LEASE
Land Records,REAL PROPERTY,OGL/I,OGL/I
Land Records,REAL PROPERTY,OG/LN.AFF,OG/LN.AFF
Land Records,REAL PROPERTY,OGL/PU,OGL/PU
Land Records,REAL PROPERTY,OGL/SA,OGL/SA
Land Records,REAL PROPERTY,OGL/WSA,OGL/WSA
